epoch,step,train_loss,val_loss
0,93,,0.14194542169570923
0,93,0.40343043208122253,
1,187,,0.07901497185230255
1,187,0.11985445022583008,
2,281,,0.05908982455730438
2,281,0.07288689911365509,
3,375,,0.05281239375472069
3,375,0.057642612606287,
4,469,,0.04899372160434723
4,469,0.04888619855046272,
5,563,,0.044018350541591644
5,563,0.04444403573870659,
6,657,,0.041274696588516235
6,657,0.040403880178928375,
7,751,,0.037267107516527176
7,751,0.03755132853984833,
8,845,,0.03540801629424095
8,845,0.03563831374049187,
9,939,,0.034319836646318436
9,939,0.03309722617268562,
10,1033,,0.030588198453187943
10,1033,0.031144455075263977,
11,1127,,0.029347429051995277
11,1127,0.029342573136091232,
12,1221,,0.027741942554712296
12,1221,0.027270734310150146,
13,1315,,0.026483546942472458
13,1315,0.026412541046738625,
14,1409,,0.025396408513188362
14,1409,0.025002557784318924,
15,1503,,0.02464805543422699
15,1503,0.02436554804444313,
16,1597,,0.02442053146660328
16,1597,0.023578841239213943,
17,1691,,0.023126142099499702
17,1691,0.022734398022294044,
18,1785,,0.02207314223051071
18,1785,0.02187267132103443,
19,1879,,0.021466882899403572
19,1879,0.02119992859661579,
20,1973,,0.020969439297914505
20,1973,0.02082146890461445,
21,2067,,0.020608577877283096
21,2067,0.020443765446543694,
22,2161,,0.020085392519831657
22,2161,0.020003268495202065,
23,2255,,0.019820867106318474
23,2255,0.019316287711262703,
24,2349,,0.019778864458203316
24,2349,0.01921974867582321,
25,2443,,0.019081300124526024
25,2443,0.018607206642627716,
26,2537,,0.01868128962814808
26,2537,0.018295563757419586,
27,2631,,0.01796717755496502
27,2631,0.017886627465486526,
28,2725,,0.01863461546599865
28,2725,0.01795310154557228,
29,2819,,0.017323803156614304
29,2819,0.017396895214915276,
30,2913,,0.017554806545376778
30,2913,0.01699877716600895,
31,3007,,0.01738426275551319
31,3007,0.016702253371477127,
32,3101,,0.017436647787690163
32,3101,0.016664214432239532,
33,3195,,0.016782540827989578
33,3195,0.016328250989317894,
34,3289,,0.01656464859843254
34,3289,0.016089802607893944,
35,3383,,0.016964932903647423
35,3383,0.01615407131612301,
36,3477,,0.016164496541023254
36,3477,0.01600165106356144,
37,3571,,0.01586833782494068
37,3571,0.015771616250276566,
38,3665,,0.01619870588183403
38,3665,0.015274413861334324,
39,3759,,0.01535775326192379
39,3759,0.01519191823899746,
40,3853,,0.01545814797282219
40,3853,0.01497724000364542,
41,3947,,0.01486006285995245
41,3947,0.015167257748544216,
42,4041,,0.014726354740560055
42,4041,0.014603246934711933,
43,4135,,0.01545105129480362
43,4135,0.014553838409483433,
44,4229,,0.014587060548365116
44,4229,0.014492940157651901,
45,4323,,0.014820401556789875
45,4323,0.014457969926297665,
46,4417,,0.014504045248031616
46,4417,0.014288005419075489,
47,4511,,0.01487550139427185
47,4511,0.014151928946375847,
48,4605,,0.014753994531929493
48,4605,0.01414275448769331,
49,4699,,0.014203466475009918
49,4699,0.0140331806614995,
50,4793,,0.013909758068621159
50,4793,0.013812514953315258,
51,4887,,0.013785872608423233
51,4887,0.013727615587413311,
52,4981,,0.014090909622609615
52,4981,0.013354881666600704,
53,5075,,0.015391150489449501
53,5075,0.013363366015255451,
54,5169,,0.014248240739107132
54,5169,0.013670274056494236,
55,5263,,0.013786463998258114
55,5263,0.013218511827290058,
56,5357,,0.014017397537827492
56,5357,0.013440069742500782,
57,5451,,0.014374571852385998
57,5451,0.013196238316595554,
58,5545,,0.014321616850793362
58,5545,0.013478031381964684,
59,5639,,0.013615375384688377
59,5639,0.013279911130666733,
60,5733,,0.01356152631342411
60,5733,0.012888535857200623,
61,5827,,0.013280957005918026
61,5827,0.01304410770535469,
62,5921,,0.013175981119275093
62,5921,0.012654484249651432,
63,6015,,0.013010996393859386
63,6015,0.012727729976177216,
64,6109,,0.013285135850310326
64,6109,0.012540006078779697,
65,6203,,0.012860767543315887
65,6203,0.012647130526602268,
66,6297,,0.013368118554353714
66,6297,0.012432318180799484,
67,6391,,0.012872297316789627
67,6391,0.012348603457212448,
68,6485,,0.013084356673061848
68,6485,0.012218102812767029,
69,6579,,0.012765496037900448
69,6579,0.01240923348814249,
70,6673,,0.012890305370092392
70,6673,0.012284738942980766,
71,6767,,0.01239436399191618
71,6767,0.01220204308629036,
72,6861,,0.012378636747598648
72,6861,0.012034883722662926,
73,6955,,0.012533072382211685
73,6955,0.012190484441816807,
74,7049,,0.01247873343527317
74,7049,0.011960661970078945,
75,7143,,0.01237467397004366
75,7143,0.011724294163286686,
76,7237,,0.012885098345577717
76,7237,0.011770714074373245,
77,7331,,0.012475970201194286
77,7331,0.011894493363797665,
78,7425,,0.012734285555779934
78,7425,0.01179601065814495,
79,7519,,0.012001318857073784
