epoch,step,train_loss,val_loss
79,7519,0.011824620887637138,
80,7613,,0.012150697410106659
80,7613,0.011416368186473846,
81,7707,,0.012115614488720894
81,7707,0.01143678929656744,
82,7801,,0.011752240359783173
82,7801,0.011402864940464497,
83,7895,,0.011737377382814884
83,7895,0.011154760606586933,
84,7989,,0.011561508290469646
84,7989,0.01112328190356493,
85,8083,,0.011944614350795746
85,8083,0.011253117583692074,
86,8177,,0.011602580547332764
86,8177,0.01109632384032011,
87,8271,,0.011749658733606339
87,8271,0.01124695222824812,
88,8365,,0.011829826980829239
88,8365,0.011000229977071285,
89,8459,,0.011322724632918835
89,8459,0.010856060311198235,
90,8553,,0.01164616271853447
90,8553,0.010824277065694332,
91,8647,,0.011370356194674969
91,8647,0.01077600009739399,
92,8741,,0.01164107397198677
92,8741,0.010819938965141773,
93,8835,,0.01153404451906681
93,8835,0.011167447082698345,
94,8929,,0.011386597529053688
94,8929,0.010698777623474598,
95,9023,,0.01131975557655096
95,9023,0.01043148897588253,
96,9117,,0.01122397743165493
96,9117,0.01045805774629116,
97,9211,,0.010992919094860554
97,9211,0.010338522493839264,
98,9305,,0.011133246123790741
98,9305,0.010407183319330215,
99,9399,,0.010925629176199436
99,9399,0.010216997936367989,
