t [s],FA [g],SS [g]
5.88,0.0016730597,-0.0058334265
5.92,-0.0006439585,-0.0035290176
5.96,-0.0015594922,-0.0037638433
6.0,-0.00024344824,-0.0036184497
6.04,0.00031740533,-0.0028379976
6.08,-0.0007179837,-0.0009852425
6.12,-0.0023713473,-0.00019740043
6.16,-0.003013117,-0.0001637905
6.2,-0.0028486557,0.0005549952
6.24,-0.0030411882,0.0007302763
6.28,-0.0036315352,0.0021000777
6.32,-0.004582875,0.0030031316
6.36,-0.0051251324,0.004726996
6.4,-0.0044901012,0.0067099743
6.44,-0.004186286,0.006943219
6.48,-0.0049610543,0.0054308902
6.5200000000000005,-0.0061458605,0.00468451
6.5600000000000005,-0.005631642,0.0069039706
6.6000000000000005,-0.0037558384,0.008415406
6.640000000000001,-0.0030017009,0.0084419185
6.68,-0.003480237,0.008763022
6.72,-0.005090899,0.009806891
6.76,-0.006136257,0.01027908
6.8,-0.0063741505,0.011095341
6.84,-0.006512676,0.011634964
6.88,-0.0070648263,0.011035469
6.92,-0.00821898,0.010779749
6.96,-0.007588557,0.011224715
7.0,-0.00687088,0.011737642
7.04,-0.0069025755,0.01060123
7.08,-0.0073435134,0.011498315
7.12,-0.007806626,0.011886596
7.16,-0.006775434,0.011350577
7.2,-0.0067909337,0.010947592
7.24,-0.0068947375,0.008338062
7.28,-0.006484039,0.0062997565
7.32,-0.00553262,0.0052513974
7.36,-0.003906162,0.0061165383
7.4,-0.0035076195,0.004588539
7.44,-0.0024956453,0.0030906603
7.48,-0.0013708938,0.004953672
7.5200000000000005,-0.00061231176,0.005466087
7.5600000000000005,-0.00015517822,0.006075927
7.6000000000000005,-7.928652e-05,0.0061382707
7.640000000000001,1.1885391e-05,0.0060165743
7.68,-0.00016889034,0.0049968595
7.72,0.0005249993,0.0028923047
7.76,0.0003798055,0.001155968
7.8,0.00014121184,-6.5516746e-05
7.84,0.00071765855,0.001385257
7.88,0.00051788683,0.0010647014
7.92,0.00046794326,-0.0013574025
7.96,0.00025632314,-0.002116839
8.0,0.0006092564,-0.0020168112
8.040000000000001,0.0008762865,-0.0024884632
8.08,0.0011570017,-0.0045117442
8.120000000000001,0.0017838877,-0.005693945
8.16,0.0023154824,-0.0071580363
8.2,0.002497373,-0.00926396
8.24,0.001339425,-0.01019075
8.28,0.000406942,-0.011543695
8.32,0.00025901344,-0.0113107525
8.36,-1.7592103e-05,-0.009614253
8.4,-0.00059826276,-0.009570831
8.44,-6.289282e-06,-0.010742372
8.48,0.00053153274,-0.010520472
8.52,0.0005124549,-0.009487278
8.56,0.0006163045,-0.010401952
8.6,0.0006043778,-0.012033867
8.64,0.00012866763,-0.01280698
8.68,-0.0010133847,-0.011671673
8.72,-0.0013918433,-0.0093279015
8.76,-0.0018141493,-0.008485385
8.8,-0.0022234134,-0.009039464
8.84,-0.0025431165,-0.009109662
8.88,-0.0032122044,-0.010096441
8.92,-0.0029929518,-0.011844221
