t [s],LAT015_FA [g],LAT015_SS [g],LAT069_FA [g],LAT069_SS [g],LAT097_FA [g],LAT097_SS [g]
0.0,-0.00011644987,0.0009326848,-0.003958184,-0.00033083075,-0.0057894993,-0.00070768665
0.03333333333333333,-0.0001300133,0.0008800727,-0.0039352584,-0.00037810078,-0.0057201264,-0.00059736497
0.06666666666666667,-0.00018940978,0.00079454173,-0.003987992,-0.00039190828,-0.005695497,-0.0005398545
0.1,-0.0002738457,0.00069084275,-0.004161124,-0.0003500838,-0.0056546694,-0.00053988735
0.13333333333333333,-0.00035664078,0.0005869098,-0.0044190087,-0.00032224494,-0.0055501135,-0.0005727104
0.16666666666666666,-0.00045689102,0.00049767166,-0.004663431,-0.00041621813,-0.0053975107,-0.00063875085
0.2,-0.00058900146,0.00042508738,-0.0047850236,-0.0006125085,-0.005196468,-0.0007072182
0.23333333333333334,-0.000721567,0.0003622784,-0.0047897464,-0.00082123507,-0.0049551334,-0.00076507323
0.26666666666666666,-0.00082708517,0.00030070674,-0.004717099,-0.0010239393,-0.0047107865,-0.00080801727
0.3,-0.00088739046,0.00024425198,-0.0045736087,-0.0011998469,-0.0044376454,-0.0008430475
0.3333333333333333,-0.0008946981,0.00019449386,-0.004375217,-0.0013179732,-0.0041520246,-0.0008717872
0.36666666666666664,-0.0008548828,0.00016114618,-0.0041814614,-0.0013407057,-0.0038783746,-0.00088072114
0.4,-0.00077282084,0.00015459595,-0.0040354873,-0.0012941197,-0.003648161,-0.0008563916
0.43333333333333335,-0.00066168635,0.00018818807,-0.0038893821,-0.0012110695,-0.0034491539,-0.0008083898
0.4666666666666667,-0.0005454979,0.00025933387,-0.0036902386,-0.001084178,-0.0032367555,-0.0008132032
0.5,-0.00042899413,0.00035204788,-0.0034193785,-0.00089369994,-0.0029708897,-0.0009077498
0.5333333333333333,-0.00031051727,0.0004633193,-0.0030804689,-0.000713871,-0.002612911,-0.0010340053
0.5666666666666667,-0.00021667453,0.000585741,-0.0026881706,-0.0005883279,-0.0022485391,-0.0011291708
0.6,-0.00016625637,0.000718198,-0.0023163108,-0.0005156676,-0.0019196337,-0.0011943709
